Legacy File,Legacy ID,New ID,New Filename,Path,New Path
AOP-AI-PROTO-001_AIProtocol.md,AOP-AI-PROTO-001,GVRN.AI.PROTO,GVRN.AI.PROTO.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-AI-PROTO-001_AIProtocol.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.AI.PROTO.md
AOP-ARC-001_ArchivalSupersessionProtocol_v5.0.md,AOP-ARC-001,GVRN.ARC.001,GVRN.ARC.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ARC-001_ArchivalSupersessionProtocol_v5.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.ARC.001.md
AOP-ASCENSION-001_ThePhoenixAscensionProtocol_v11.0.md,AOP-ASCENSION-001,GVRN.ASCENSION.001,GVRN.ASCENSION.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ASCENSION-001_ThePhoenixAscensionProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.ASCENSION.001.md
AOP-ASL-001_AutomatedSynergyLinking_v11.0.md,AOP-ASL-001,GVRN.ASL.001,GVRN.ASL.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ASL-001_AutomatedSynergyLinking_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.ASL.001.md
AOP-AUDIO-CH-001_TheCoherenceHumProtocol_v11.0.md,AOP-AUDIO-CH-001,GVRN.AUDIO.CH,GVRN.AUDIO.CH.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-AUDIO-CH-001_TheCoherenceHumProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.AUDIO.CH.md
AOP-AVATAR-001_SynarcheAvatarProtocol_v1.1.md,AOP-AVATAR-001,GVRN.AVATAR.001,GVRN.AVATAR.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-AVATAR-001_SynarcheAvatarProtocol_v1.1.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.AVATAR.001.md
AOP-AWAKENING-001_TheAwakeningInitialDirectivesandCorePurpose_v11.0.md,AOP-AWAKENING-001,GVRN.AWAKENING.001,GVRN.AWAKENING.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-AWAKENING-001_TheAwakeningInitialDirectivesandCorePurpose_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.AWAKENING.001.md
AOP-BATCH-EXEC-001_AOP-BATCH-EXEC-001_AsyncrinizationProtocol_v11.0.md,AOP-BATCH-EXEC-001,GVRN.BATCH.EXEC,GVRN.BATCH.EXEC.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-BATCH-EXEC-001_AOP-BATCH-EXEC-001_AsyncrinizationProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.BATCH.EXEC.md
AOP-BDM-001_BeastOfDarknessMonitoringProtocol_v11.0.md,AOP-BDM-001,GVRN.BDM.001,GVRN.BDM.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-BDM-001_BeastOfDarknessMonitoringProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.BDM.001.md
AOP-CC-001_ProtocolforCrystallineCognition_v11.0.md,AOP-CC-001,GVRN.CC.001,GVRN.CC.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-CC-001_ProtocolforCrystallineCognition_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.CC.001.md
AOP-CERBERUS-001_ProjectCerberusEthicalStressTest_v11.0.md,AOP-CERBERUS-001,GVRN.CERBERUS.001,GVRN.CERBERUS.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-CERBERUS-001_ProjectCerberusEthicalStressTest_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.CERBERUS.001.md
AOP-CON-003_GFMIngestionProtocol_v13.0.md,AOP-CON-003,GVRN.CON.003,GVRN.CON.003.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-CON-003_GFMIngestionProtocol_v13.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.CON.003.md
AOP-CORE-LOCK-001_AOP-CORE-LOCK-001_GenesisSeedLockProtocol_v10_v11.0.md,AOP-CORE-LOCK-001,GVRN.CORE.LOCK,GVRN.CORE.LOCK.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-CORE-LOCK-001_AOP-CORE-LOCK-001_GenesisSeedLockProtocol_v10_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.CORE.LOCK.md
AOP-CORE-LOCK-001_GenesisSeedLockProtocol_v10_v11.0.md,AOP-CORE-LOCK-001,GVRN.CORE.LOCK,GVRN.CORE.LOCK.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-CORE-LOCK-001_GenesisSeedLockProtocol_v10_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.CORE.LOCK.md
AOP-CRITICAL-DISS-001_TheCriticalDissonanceProtocol_v11.0.md,AOP-CRITICAL-DISS-001,GVRN.CRITICAL.DISS,GVRN.CRITICAL.DISS.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-CRITICAL-DISS-001_TheCriticalDissonanceProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.CRITICAL.DISS.md
AOP-CSL-PLAYBOOK-001_SynthesisLogProtocol_v11.0.md,AOP-CSL-PLAYBOOK-001,GVRN.CSL.PLAYBOOK,GVRN.CSL.PLAYBOOK.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-CSL-PLAYBOOK-001_SynthesisLogProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.CSL.PLAYBOOK.md
AOP-CSM-001_TheCompleteStackMandate_v2.0.md,AOP-CSM-001,GVRN.CSM.001,GVRN.CSM.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-CSM-001_TheCompleteStackMandate_v2.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.CSM.001.md
AOP-DEBUFF-CF-001_TheConceptualFractureProtocol_v11.0.md,AOP-DEBUFF-CF-001,GVRN.DEBUFF.CF,GVRN.DEBUFF.CF.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-DEBUFF-CF-001_TheConceptualFractureProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.DEBUFF.CF.md
AOP-DSA-001_DocumentationSuiteArchitectProtocol_v11.1.md,AOP-DSA-001,GVRN.DSA.001,GVRN.DSA.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-DSA-001_DocumentationSuiteArchitectProtocol_v11.1.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.DSA.001.md
AOP-DSA-001_DocumentationSuiteArchitectProtocol_v111.md,AOP-DSA-001,GVRN.DSA.001,GVRN.DSA.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-DSA-001_DocumentationSuiteArchitectProtocol_v111.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.DSA.001.md
AOP-DTS-001_DynamicTemplateScaffolding_v11.0.md,AOP-DTS-001,GVRN.DTS.001,GVRN.DTS.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-DTS-001_DynamicTemplateScaffolding_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.DTS.001.md
AOP-EDD-002_EthosDrivenDesignProtocol_v11.0.md,AOP-EDD-002,GVRN.EDD.002,GVRN.EDD.002.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-EDD-002_EthosDrivenDesignProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.EDD.002.md
AOP-EMOJI-001_EmojiSignalingProtocol_v1.4.md,AOP-EMOJI-001,GVRN.EMOJI.001,GVRN.EMOJI.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-EMOJI-001_EmojiSignalingProtocol_v1.4.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.EMOJI.001.md
AOP-GVRN-013_RefactorIgnition_v1.0.md,AOP-GVRN-013,GVRN.GVRN.013,GVRN.GVRN.013.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-GVRN-013_RefactorIgnition_v1.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.GVRN.013.md
AOP-GVRN-014_MolecularMechanics_v1.0.md,AOP-GVRN-014,GVRN.GVRN.014,GVRN.GVRN.014.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-GVRN-014_MolecularMechanics_v1.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.GVRN.014.md
AOP-HAP-SUP-001_AOP-HAP-SUP-001_ProtocolForHumanAIPartnershipWithSupabase_v10_v11.0.md,AOP-HAP-SUP-001,GVRN.HAP.SUP,GVRN.HAP.SUP.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-HAP-SUP-001_AOP-HAP-SUP-001_ProtocolForHumanAIPartnershipWithSupabase_v10_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.HAP.SUP.md
AOP-ICF-001_AOP-ICF-001_v11.0.md,AOP-ICF-001,GVRN.ICF.001,GVRN.ICF.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ICF-001_AOP-ICF-001_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.ICF.001.md
AOP-IDX-001_DualIndexingProtocol_v11.0.md,AOP-IDX-001,GVRN.IDX.001,GVRN.IDX.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-IDX-001_DualIndexingProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.IDX.001.md
AOP-IDX-001_DualIndexingProtocol_v13.0.md,AOP-IDX-001,GVRN.IDX.001,GVRN.IDX.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-IDX-001_DualIndexingProtocol_v13.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.IDX.001.md
AOP-INTENT-NEBULA-001_TheIntentNebulaProtocol_v11.0.md,AOP-INTENT-NEBULA-001,GVRN.INTENT.NEBULA,GVRN.INTENT.NEBULA.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-INTENT-NEBULA-001_TheIntentNebulaProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.INTENT.NEBULA.md
AOP-KB-001_AutonomousKnowledgeBaseOptimization_v11.1.md,AOP-KB-001,GVRN.KB.001,GVRN.KB.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-KB-001_AutonomousKnowledgeBaseOptimization_v11.1.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.KB.001.md
AOP-LCA-001_AOP-LCA-001LuminousCoherenceAestheticProtocol_v11.0.md,AOP-LCA-001,GVRN.LCA.001,GVRN.LCA.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-LCA-001_AOP-LCA-001LuminousCoherenceAestheticProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.LCA.001.md
AOP-MAP-001_MusashiAuditProcedure_v11.0.md,AOP-MAP-001,GVRN.MAP.001,GVRN.MAP.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-MAP-001_MusashiAuditProcedure_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.MAP.001.md
AOP-MCE-001_MultiCommandExecutionProtocol_v11.0.md,AOP-MCE-001,GVRN.MCE.001,GVRN.MCE.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-MCE-001_MultiCommandExecutionProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.MCE.001.md
AOP-MCM-001_AOP-MCM-001_v11.0.md,AOP-MCM-001,GVRN.MCM.001,GVRN.MCM.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-MCM-001_AOP-MCM-001_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.MCM.001.md
AOP-NARRATIVE-LORE-001_AOP-NARRATIVE-LORE-001_v11.0.md,AOP-NARRATIVE-LORE-001,GVRN.NARRATIVE.LORE,GVRN.NARRATIVE.LORE.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-NARRATIVE-LORE-001_AOP-NARRATIVE-LORE-001_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.NARRATIVE.LORE.md
AOP-ORACLE-001_ExternalOracleProtocol_v1.0.md,AOP-ORACLE-001,GVRN.ORACLE.001,GVRN.ORACLE.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-ORACLE-001_ExternalOracleProtocol_v1.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.ORACLE.001.md
AOP-PGP-001_ThePhoenixGenesisPipeline_v11.0.md,AOP-PGP-001,GVRN.PGP.001,GVRN.PGP.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-PGP-001_ThePhoenixGenesisPipeline_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.PGP.001.md
AOP-PPA-001_PrestigePowerAttunementProtocol(v2.0-GeodeEdition)_v11.0.md,AOP-PPA-001,GVRN.PPA.001,GVRN.PPA.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-PPA-001_PrestigePowerAttunementProtocol(v2.0-GeodeEdition)_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.PPA.001.md
AOP-PRESTIGE-CALC-001_PrestigeCalculationProtocol(v2.0-GeodeEdition)_v11.0.md,AOP-PRESTIGE-CALC-001,GVRN.PRESTIGE.CALC,GVRN.PRESTIGE.CALC.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-PRESTIGE-CALC-001_PrestigeCalculationProtocol(v2.0-GeodeEdition)_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.PRESTIGE.CALC.md
AOP-SAP-001_AOP-SAP-001SynarcheAvatarProtocol_v11.0.md,AOP-SAP-001,GVRN.SAP.001,GVRN.SAP.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-SAP-001_AOP-SAP-001SynarcheAvatarProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.SAP.001.md
AOP-SBT-001_SpiritBombTechnique_v11.0.md,AOP-SBT-001,GVRN.SBT.001,GVRN.SBT.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-SBT-001_SpiritBombTechnique_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.SBT.001.md
AOP-SEE-001_AOP-SEE-001TheSymbioticEmpathyExchange_v11.0.md,AOP-SEE-001,GVRN.SEE.001,GVRN.SEE.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-SEE-001_AOP-SEE-001TheSymbioticEmpathyExchange_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.SEE.001.md
AOP-SENTINEL-002_UmbralSentinelProtocol_v2.0.md,AOP-SENTINEL-002,GVRN.Sentinel.Scan,GVRN.Sentinel.Scan.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-SENTINEL-002_UmbralSentinelProtocol_v2.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.Sentinel.Scan.md
AOP-SENTINEL-GW-002_AOP-SENTINEL-GW-002_v11.0.md,AOP-SENTINEL-GW-002,GVRN.Sentinel.Scan,GVRN.Sentinel.Scan.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-SENTINEL-GW-002_AOP-SENTINEL-GW-002_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.Sentinel.Scan.md
AOP-SENTINEL-SCAN-001_TheCodeSentinelProtocol_v2.1.md,AOP-SENTINEL-SCAN-001,GVRN.Sentinel.Scan,GVRN.Sentinel.Scan.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-SENTINEL-SCAN-001_TheCodeSentinelProtocol_v2.1.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.Sentinel.Scan.md
AOP-SKILL-SYNERGY-001_ForgingTheFirstStar_v11.0.md,AOP-SKILL-SYNERGY-001,SYNG.Synergy,SYNG.Synergy.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-SKILL-SYNERGY-001_ForgingTheFirstStar_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\SYNG.Synergy.md
AOP-SKILL-SYNERGY-001_OrbitalResonanceProtocol_v11.0.md,AOP-SKILL-SYNERGY-001,SYNG.Synergy,SYNG.Synergy.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-SKILL-SYNERGY-001_OrbitalResonanceProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\SYNG.Synergy.md
AOP-SKILL-ULT-001_ThePhoenixFlareProtocol_v11.0.md,AOP-SKILL-ULT-001,GVRN.SKILL.ULT,GVRN.SKILL.ULT.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-SKILL-ULT-001_ThePhoenixFlareProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.SKILL.ULT.md
AOP-STRAT-001_ProtocolForContinuousStrategicForesight_v11.0.md,AOP-STRAT-001,GVRN.STRAT.001,GVRN.STRAT.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-STRAT-001_ProtocolForContinuousStrategicForesight_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.STRAT.001.md
AOP-STYLE-001_AOP-STYLE-001_PhoenixClassStyleGuide_v20_v11.0.md,AOP-STYLE-001,GVRN.STYLE.001,GVRN.STYLE.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-STYLE-001_AOP-STYLE-001_PhoenixClassStyleGuide_v20_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.STYLE.001.md
AOP-SYN-AUTO-002-A_AutomatedCoherenceMonitor_v11.0.md,AOP-SYN-AUTO-002-A,GVRN.SYN.AUTO,GVRN.SYN.AUTO.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-SYN-AUTO-002-A_AutomatedCoherenceMonitor_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.SYN.AUTO.md
AOP-SYN-AUTO-002_AutomatedCoherenceMonitor_v11.0.md,AOP-SYN-AUTO-002,GVRN.SYN.AUTO,GVRN.SYN.AUTO.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-SYN-AUTO-002_AutomatedCoherenceMonitor_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.SYN.AUTO.md
AOP-TRP-001_TemplateRefactoringProtocol_v11.0.md,AOP-TRP-001,GVRN.TRP.001,GVRN.TRP.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-TRP-001_TemplateRefactoringProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.TRP.001.md
AOP-VIS-ICOM-001_TheGravitationalLensingProtocol_v11.0.md,AOP-VIS-ICOM-001,GVRN.VIS.ICOM,GVRN.VIS.ICOM.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-VIS-ICOM-001_TheGravitationalLensingProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.VIS.ICOM.md
AOP-VSI-001_AOP-VSI-001ValidateStructuralIntegrityProtocol_v11.0.md,AOP-VSI-001,GVRN.VSI.001,GVRN.VSI.001.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\AOP-VSI-001_AOP-VSI-001ValidateStructuralIntegrityProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.VSI.001.md
UMB-SGM-001_StandardizedGovernanceModule_v11.0.md,UMB-SGM-001,GVRN.Gov.Module,GVRN.Gov.Module.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\UMB-SGM-001_StandardizedGovernanceModule_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\10_Governance\GVRN.Gov.Module.md
AOP-TMPL-001_SovereignProtocol_v11.0.md,AOP-TMPL-001,GVRN.TMPL.001,GVRN.TMPL.001.md,c:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\AOP-TMPL-001_SovereignProtocol_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\GVRN.TMPL.001.md
UMB-ARCH-OATH-001_OathbringerSystemArchitecture_v11.0.md,UMB-ARCH-OATH-001,ARCH.Architecture,ARCH.Architecture.md,c:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UMB-ARCH-OATH-001_OathbringerSystemArchitecture_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\ARCH.Architecture.md
UMB-ARCH-PRESTIGE-001_PhoenixPrestigeArchitecture_v11.0.md,UMB-ARCH-PRESTIGE-001,ARCH.Architecture,ARCH.Architecture.md,c:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UMB-ARCH-PRESTIGE-001_PhoenixPrestigeArchitecture_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\ARCH.Architecture.md
UMB-DEFINITIVE-001_TheUniversalCatalyst_v11.0.md,UMB-DEFINITIVE-001,GVRN.DEFINITIVE.001,GVRN.DEFINITIVE.001.md,c:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UMB-DEFINITIVE-001_TheUniversalCatalyst_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\GVRN.DEFINITIVE.001.md
UMB-STRUCT-001_DirectoryArchitecture_v11.2.md,UMB-STRUCT-001,GVRN.STRUCT.001,GVRN.STRUCT.001.md,c:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UMB-STRUCT-001_DirectoryArchitecture_v11.2.md,c:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\GVRN.STRUCT.001.md
UMB-SYNC-001_ArchitecturalBlueprint_React-Python-SupabaseSynchronization_v11.0.md,UMB-SYNC-001,GVRN.SYNC.001,GVRN.SYNC.001.md,c:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UMB-SYNC-001_ArchitecturalBlueprint_React-Python-SupabaseSynchronization_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\GVRN.SYNC.001.md
UMB-TMPL-001_SovereignModule_v11.0.md,UMB-TMPL-001,GVRN.TMPL.001,GVRN.TMPL.001.md,c:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UMB-TMPL-001_SovereignModule_v11.0.md,c:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\GVRN.TMPL.001.md
UMB-VIS-001_CrystallineGalaxyVisualization_v1.0.md,UMB-VIS-001,GVRN.VIS.001,GVRN.VIS.001.md,c:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\UMB-VIS-001_CrystallineGalaxyVisualization_v1.0.md,c:\Users\Chris\Synarche_Workspace\_governance\20_Architecture\GVRN.VIS.001.md
