node_id,node_type,filename,size_bytes,filepath
AISTF_Core.md,Artifact,AISTF_Core.md,1207,C:\Users\Chris\Synarche_Workspace\nova-forge\src\nova_forge\knowledge\protocols\AISTF_Core.md
Phoenix_Cycle.md,Artifact,Phoenix_Cycle.md,866,C:\Users\Chris\Synarche_Workspace\nova-forge\src\nova_forge\knowledge\protocols\Phoenix_Cycle.md
CODE-REF-003,Artifact,weaver.py,2054,C:\Users\Chris\Synarche_Workspace\nova-forge\src\nova_forge\utils\weaver.py
AOP-DMPM-001,Artifact,AOP-DMPM-001.md,2835,C:\Users\Chris\Synarche_Workspace\axion-core\docs\AOP-DMPM-001.md
AOP-GAN-001,Artifact,AOP-GAN-001.md,1679,C:\Users\Chris\Synarche_Workspace\axion-core\docs\AOP-GAN-001.md
AOP-WELL-001,Artifact,AOP-WELL-001.md,2346,C:\Users\Chris\Synarche_Workspace\axion-core\docs\AOP-WELL-001.md
UMB-SOT-001,Artifact,UMB-SOT-001.md,2433,C:\Users\Chris\Synarche_Workspace\axion-core\docs\UMB-SOT-001.md
AOP-AG-003_AxionAgentConfiguration_v11.0.md,Artifact,AOP-AG-003_AxionAgentConfiguration_v11.0.md,7058,C:\Users\Chris\Synarche_Workspace\axion-core\docs\agents\AOP-AG-003_AxionAgentConfiguration_v11.0.md
AOP-ARC-001,Artifact,AOP-ARC-001_ArchivalSupersessionProtocol_v2.0.md,4099,C:\Users\Chris\Synarche_Workspace\axion-core\docs\agents\AOP-ARC-001_ArchivalSupersessionProtocol_v2.0.md
AOP-SCA-001,Artifact,AOP-SCA-001_Audit_Log_v11.0.md,2496,C:\Users\Chris\Synarche_Workspace\axion-core\docs\agents\AOP-SCA-001_Audit_Log_v11.0.md
AOP-TB-001_TruthbringerTrainingGuide_v11.0.md,Artifact,AOP-TB-001_TruthbringerTrainingGuide_v11.0.md,5966,C:\Users\Chris\Synarche_Workspace\axion-core\docs\agents\AOP-TB-001_TruthbringerTrainingGuide_v11.0.md
GVRN-PRIME-001,Artifact,GVRN-PRIME-001_PrimaryDirective_v11.0.md,2515,C:\Users\Chris\Synarche_Workspace\axion-core\docs\agents\GVRN-PRIME-001_PrimaryDirective_v11.0.md
UMB-AG-001_AntigravityIntegration_v11.0.md,Artifact,UMB-AG-001_AntigravityIntegration_v11.0.md,4321,C:\Users\Chris\Synarche_Workspace\axion-core\docs\agents\UMB-AG-001_AntigravityIntegration_v11.0.md
UMB-APT-001,Artifact,Context_Data_Packet_Session_Archival.md,3900,C:\Users\Chris\Synarche_Workspace\axion-core\docs\agents\_archive\Context_Data_Packet_Session_Archival.md
AOP-AG-002_AxionAgentConfiguration_v1.0.md,Artifact,AOP-AG-002_AxionAgentConfiguration_v1.0.md,5272,C:\Users\Chris\Synarche_Workspace\axion-core\docs\agents\_archive\AOP-AG-002_AxionAgentConfiguration_v1.0.md
Google Antigravity.md,Artifact,Google Antigravity.md,6706,C:\Users\Chris\Synarche_Workspace\axion-core\docs\agents\_archive\Google Antigravity.md
Messageto_Axion.md,Artifact,Messageto_Axion.md,2092,C:\Users\Chris\Synarche_Workspace\axion-core\docs\agents\_archive\Messageto_Axion.md
SENTINEL-REPORT-005,Artifact,SENTINEL-REPORT-005_InitialScan.md,2469,C:\Users\Chris\Synarche_Workspace\axion-core\docs\agents\_archive\SENTINEL-REPORT-005_InitialScan.md
CMD-AXION-001,Artifact,CMD-AXION-001_AgentScaffoldingPrompt_v11.0.md,3091,C:\Users\Chris\Synarche_Workspace\axion-core\docs\commands\CMD-AXION-001_AgentScaffoldingPrompt_v11.0.md
GUCA-IDE-SENTINEL-001_TheIDEIntegritySentinel_v11.0.md,Artifact,GUCA-IDE-SENTINEL-001_TheIDEIntegritySentinel_v11.0.md,3204,C:\Users\Chris\Synarche_Workspace\axion-core\docs\commands\GUCA-IDE-SENTINEL-001_TheIDEIntegritySentinel_v11.0.md
GUCA-PROMPT-SYN-002_AdaptiveArtifactGeneration_v11.0.md,Artifact,GUCA-PROMPT-SYN-002_AdaptiveArtifactGeneration_v11.0.md,3384,C:\Users\Chris\Synarche_Workspace\axion-core\docs\commands\GUCA-PROMPT-SYN-002_AdaptiveArtifactGeneration_v11.0.md
GUCA-SIMP-001,Artifact,GUCA-SIMP-001_SystemicImpactSimulationProtocol_v11.0.md,3156,C:\Users\Chris\Synarche_Workspace\axion-core\docs\commands\GUCA-SIMP-001_SystemicImpactSimulationProtocol_v11.0.md
TEMPLATE-LOG-001,Artifact,TEMPLATE-LOG-001.md,1186,C:\Users\Chris\Synarche_Workspace\axion-core\docs\reviews\TEMPLATE-LOG-001.md
UMB-CATALYST-001,Artifact,UMB-CATALYST-001_TheCatalystWeaver_v1.0.md,2597,C:\Users\Chris\Synarche_Workspace\axion-core\docs\specs\UMB-CATALYST-001_TheCatalystWeaver_v1.0.md
UMB-CSP-001,Artifact,UMB-CSP-001.md,1994,C:\Users\Chris\Synarche_Workspace\axion-core\docs\UMB-CSP-001.md
AOP-CSM-001,Artifact,AOP-CSM-001.md,1493,C:\Users\Chris\Synarche_Workspace\axion-core\docs\AOP\AOP-CSM-001.md
CWA-CON-001,Artifact,CWA-CON-001.md,1975,C:\Users\Chris\Synarche_Workspace\axion-core\docs\CWA\CWA-CON-001.md
AOP-AXIOM-WEAVE-001.md,Artifact,AOP-AXIOM-WEAVE-001.md,1259,C:\Users\Chris\Synarche_Workspace\axion-core\docs\AOP\AOP-AXIOM-WEAVE-001.md
UMB-ARCH-CORE-001.md,Artifact,UMB-ARCH-CORE-001.md,1967,C:\Users\Chris\Synarche_Workspace\axion-core\docs\ARCH\UMB-ARCH-CORE-001.md
CSL-LINK-001,Artifact,CSL-LINK-001.md,1421,C:\Users\Chris\Synarche_Workspace\axion-core\docs\CSL\CSL-LINK-001.md
AOP-AVATAR-001,Artifact,AOP-AVATAR-001.md,1142,C:\Users\Chris\Synarche_Workspace\axion-core\docs\GVRN\AOP-AVATAR-001.md
AOP-MAP-001,Artifact,AOP-MAP-001.md,800,C:\Users\Chris\Synarche_Workspace\axion-core\docs\GVRN\AOP-MAP-001.md
GUCA-DSA-001,Artifact,GUCA-DSA-001.md,655,C:\Users\Chris\Synarche_Workspace\axion-core\docs\GVRN\GUCA-DSA-001.md
GUCA-MAP-001,Artifact,GUCA-MAP-001.md,599,C:\Users\Chris\Synarche_Workspace\axion-core\docs\GVRN\GUCA-MAP-001.md
GVRN-SYNERGY-001,Artifact,GVRN-SYNERGY-001.md,1072,C:\Users\Chris\Synarche_Workspace\axion-core\docs\GVRN\GVRN-SYNERGY-001.md
