artifact_id,category,name,status,version,semantic_anchors,tags,content_shard,path
WLF-THEM-022_PowerVsControl_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the thematic pillar of Power vs Control within the ""Where Light Fades"" universe. The pursuit of power for the sake of control is presented as dangerous and ultimately corrupting. True strength is linked to self-control and wisdom, whereas ""Domination"" (the path of Valerius and the Shadow) leads to the hollowing of the soul. - **The Hand of Light**: The ultimate symbol of ""Control"" over ""Power."" - **Shadow's Rage**: The illusion of power through loss of control.",1. Core Concepts & Themes\WLF-THEM-022_PowerVsControl_v1.0.md
WLF-THEM-023_Resistance_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the thematic pillar of Resistance within the ""Where Light Fades"" universe. Despite the overwhelming darkness, Kaelen's internal strength, his memories of loved ones, and his connections to Serafina and Garrett provide sources of resistance. This emphasizes the enduring power of hope and human connection as the only functional ""Anti-Corruption."" - **The Blue Stone**: A physical focus for the memory of Home. - **The Trinity Strike**: Tactical resistance through absolute coordination.",1. Core Concepts & Themes\WLF-THEM-023_Resistance_v1.0.md
WLF-THEM-024_StatusQuoVsTruth_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the thematic pillar of Status Quo vs Truth within the ""Where Light Fades"" universe. The Order's rigid adherence to tradition and its suppression of uncomfortable truths are challenged by Kaelen's quest for knowledge and his questioning of established norms. The conflict is between ""Safety through Ignorance"" and ""Salvation through Understanding."" - **The Archives**: Where the truth is hidden but still exists. - **The Living Seal**: The ultimate ""Status Quo"" that Kaelen aims to break.",1. Core Concepts & Themes\WLF-THEM-024_StatusQuoVsTruth_v1.0.md
WLF-THEM-025_Temptation_v1.0,1. Core Concepts & Themes,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document defines the thematic pillar of Temptation within the ""Where Light Fades"" universe. The darkness, embodied by Nyx and the Shadow Self, offers seductive promises of power and quick solutions, preying on Kaelen's vulnerabilities and desires. Temptation is rarely an offer to be ""evil,"" but an offer to be **effective** at any cost. - **The Efficient Win**: ""Why struggle when you can end this in a second?"" - **The Protector's Fall**: ""They are too weak to survive without you embracing this.""",1. Core Concepts & Themes\WLF-THEM-025_Temptation_v1.0.md
Nyx_s Bile - Oily Residue,10. Key Symbols & Motifs,Axiomatic Spine,ACTIVE,v1.0,,,"- | :---- | Visual marker of Nyx's power and Shadow Self's influence. Synergistic Artifact ID, Relationship Type, Synergistic Impact CORE-CODEX-001, GOVERNS, The Codex provides the Supreme Law for this artifact. GVRN.Registry.Master, INDEXES, This artifact is indexed in the Master Registry.",10. Key Symbols & Motifs\Nyx_s Bile - Oily Residue.md
WLF-SYMB-INDEX,10. Key Symbols & Motifs,[CANON] Visual & Metaphysical Symbols,ACTIVE,v15.0 [OMEGA],PART_OF: WLF-ROOT-001,index; symbols-motifs; nexus,"- **[WLF-SYMB-001 Symbol of Binding](./WLF-SYMB-001_SymbolOfBinding_v1.0.md)**: The geometry of repression. - **[WLF-SYMB-002 Black Feather](./WLF-SYMB-002_BlackFeather_v1.0.md)**: The presence of the pre-sundered. - **[WLF-SYMB-003 Cracked Glass](./WLF-SYMB-003_CrackedGlass_v1.0.md)**: Fractured perception. - **[WLF-SYMB-005 Nyx's Bile](./WLF-SYMB-005_NyxBile_v1.0.md)**: The physical manifestation of doubt. - **Various Motif Fragments**: (Ressidue, Stained Glass, Whispering Blade Symbols).",10. Key Symbols & Motifs\README.md
Symbol_Black Feather,10. Key Symbols & Motifs,Axiomatic Spine,ACTIVE,v1.0,,,"- | :---- | Synergistic Artifact ID, Relationship Type, Synergistic Impact CORE-CODEX-001, GOVERNS, The Codex provides the Supreme Law for this artifact. GVRN.Registry.Master, INDEXES, This artifact is indexed in the Master Registry.",10. Key Symbols & Motifs\Symbol_Black Feather.md
Symbol_Cracked Stained Glass,10. Key Symbols & Motifs,Axiomatic Spine,ACTIVE,v1.0,,,"- | :---- | Synergistic Artifact ID, Relationship Type, Synergistic Impact CORE-CODEX-001, GOVERNS, The Codex provides the Supreme Law for this artifact. GVRN.Registry.Master, INDEXES, This artifact is indexed in the Master Registry.",10. Key Symbols & Motifs\Symbol_Cracked Stained Glass.md
Symbol_Whispering Blade,10. Key Symbols & Motifs,Axiomatic Spine,ACTIVE,v1.0,,,"- | :---- | Synergistic Artifact ID, Relationship Type, Synergistic Impact CORE-CODEX-001, GOVERNS, The Codex provides the Supreme Law for this artifact. GVRN.Registry.Master, INDEXES, This artifact is indexed in the Master Registry.",10. Key Symbols & Motifs\Symbol_Whispering Blade.md
WLF-SYMB-001_SymbolOfBinding_v1.0,10. Key Symbols & Motifs,Axiomatic Spine,ACTIVE,v1.0,,,"> [!IMPORTANT] > **Hephaestus Engine ID**: `SYMB-BINDING-001` > **Causal Role**: The Valve / The Funnel > **Resonance Check**: v11.0 (Harmonized) A geometric sigil consisting of a perfect circle intersected by three inward-pointing, thorn-like arrows. The arrows do not touch the center but direct focus towards it.",10. Key Symbols & Motifs\WLF-SYMB-001_SymbolOfBinding_v1.0.md
WLF-SYMB-002_BlackFeather_v1.0,10. Key Symbols & Motifs,Axiomatic Spine,ACTIVE,v1.0,,,"**Black Feathers** represent the ""Wings of the Void"" and the encroaching presence of the [Shadow Self](file:///6.%20Characters/WLF-CHAR-007_Shadow_Self_v1.0.md). - Appears as a singular, impossible feather found in ""Closed Systems"" (e.g., inside a sealed cell or a person's pocket). - It is often the first physical sign of a character’s [Dissonance](file:///1.%20Core%20Concepts%20&%20Themes/WLF-GDD-001_TheShatteredMind_v1.0.md) rising. - It serves as a calling card for [Valerius](file:///6.%20Characters/WLF-CHAR-004_Valerius_v1.0.md), mocking the ""Light-bound"" with evidence of their internal shadows. ⚡ **OPERATIONALIZE**",10. Key Symbols & Motifs\WLF-SYMB-002_BlackFeather_v1.0.md
WLF-SYMB-003_CrackedGlass_v1.0,10. Key Symbols & Motifs,Axiomatic Spine,ACTIVE,v1.0,,,"**Cracked Stained Glass** represents the **""Fractured History""** of Eldoria and the unreliability of the hero-myth. - Found primarily in the [Hallowed Chapel](file:///2.%20World%20&%20Setting/Locations/WLF-WRLD-012_HallowedChapel_v1.0.md). - As the world decays, the spiderweb cracks in the windows increasingly obscure the faces of the depicted Eldorian ""Heroes."" - Reflects the [Theme of Faith vs. Doubt](file:///1.%20Core%20Concepts%20&%20Themes/Themes/WLF-THEM-001_FaithVsDoubt_v1.0.md). Kaelen often sees his own reflection ""fractured"" across these windows. ⚡ **OPERATIONALIZE**",10. Key Symbols & Motifs\WLF-SYMB-003_CrackedGlass_v1.0.md
WLF-SYMB-004_WhisperingBladeSymbol_v1.0,10. Key Symbols & Motifs,Axiomatic Spine,ACTIVE,v1.0,,,"The **Whispering Blade Symbol** represents the **""Burden of the Truth""** and the price of forbidden power. - Unlike the physical weapon, the *symbol* of the blade—a vertical line bifurcated by a horizontal zig-zag (The Dissonance)—appears in Eldorian ""Black Sites"" and on the clothing of the High Council. - It is a warning of the ""Sword that cuts the wielder."" - Connects [Oathbringer](file:///8.%20Artifacts%20Key%20Items/WLF-ITEM-002_Oathbringer_v1.0.md) to a broader systemic failure, rather than just a ""unlucky find."" ⚡ **OPERATIONALIZE**",10. Key Symbols & Motifs\WLF-SYMB-004_WhisperingBladeSymbol_v1.0.md
WLF-SYMB-005_NyxBile_v1.0,10. Key Symbols & Motifs,Axiomatic Spine,ACTIVE,v1.0,,,"**Nyx's Bile** is a physical, oily residue that marks the presence of high-resonance [Nyx](file:///3.%20History,%20Lore,%20&%20Mythology/Eras_Events/WLF-LORE-020_Nyx_v1.0.md) energy. - **Appearance**: A thick, black, iridescent liquid that defies gravity (crawling up walls or pooling against wind). - **Sensory**: Smells of ozone and old, wet iron. Touching it causes immediate ""Static-Burn."" - It is the physical manifestation of **""Reality Rot.""** - Its presence indicates that a [Heartstone](file:///5.%20Magic%20and%20Power%20Systems/WLF-MAGI-002_Heartstones_v1.0.md) is being actively drained or sabotaged.",10. Key Symbols & Motifs\WLF-SYMB-005_NyxBile_v1.0.md
Heartstone (Oakhaven),11. Concepts_Misc,Axiomatic Spine,ACTIVE,v1.0,,,"- | :---- | Synergistic Artifact ID, Relationship Type, Synergistic Impact CORE-CODEX-001, GOVERNS, The Codex provides the Supreme Law for this artifact. GVRN.Registry.Master, INDEXES, This artifact is indexed in the Master Registry.",11. Concepts_Misc\Heartstone (Oakhaven).md
Heartstones (Destabilization),11. Concepts_Misc,Axiomatic Spine,ACTIVE,v1.0,,,"- | :---- | Synergistic Artifact ID, Relationship Type, Synergistic Impact CORE-CODEX-001, GOVERNS, The Codex provides the Supreme Law for this artifact. GVRN.Registry.Master, INDEXES, This artifact is indexed in the Master Registry.",11. Concepts_Misc\Heartstones (Destabilization).md
Heartstones (Discovery Legend),11. Concepts_Misc,Axiomatic Spine,ACTIVE,v1.0,,,"- | :---- | Synergistic Artifact ID, Relationship Type, Synergistic Impact CORE-CODEX-001, GOVERNS, The Codex provides the Supreme Law for this artifact. GVRN.Registry.Master, INDEXES, This artifact is indexed in the Master Registry.",11. Concepts_Misc\Heartstones (Discovery Legend).md
Heartstones (Origin),11. Concepts_Misc,Axiomatic Spine,ACTIVE,v1.0,,,"- | :---- | Synergistic Artifact ID, Relationship Type, Synergistic Impact CORE-CODEX-001, GOVERNS, The Codex provides the Supreme Law for this artifact. GVRN.Registry.Master, INDEXES, This artifact is indexed in the Master Registry.",11. Concepts_Misc\Heartstones (Origin).md
Kaelen (Dark Mode),11. Concepts_Misc,Axiomatic Spine,ACTIVE,v1.0,,,"- | :---- | Synergistic Artifact ID, Relationship Type, Synergistic Impact CORE-CODEX-001, GOVERNS, The Codex provides the Supreme Law for this artifact. GVRN.Registry.Master, INDEXES, This artifact is indexed in the Master Registry.",11. Concepts_Misc\Kaelen (Dark Mode).md
Kaelen (Internal Struggle),11. Concepts_Misc,Axiomatic Spine,ACTIVE,v1.0,,,"- | :---- | Synergistic Artifact ID, Relationship Type, Synergistic Impact CORE-CODEX-001, GOVERNS, The Codex provides the Supreme Law for this artifact. GVRN.Registry.Master, INDEXES, This artifact is indexed in the Master Registry.",11. Concepts_Misc\Kaelen (Internal Struggle).md
Kaelen (Light Mode),11. Concepts_Misc,Axiomatic Spine,ACTIVE,v1.0,,,"- | :---- | Synergistic Artifact ID, Relationship Type, Synergistic Impact CORE-CODEX-001, GOVERNS, The Codex provides the Supreme Law for this artifact. GVRN.Registry.Master, INDEXES, This artifact is indexed in the Master Registry.",11. Concepts_Misc\Kaelen (Light Mode).md
WLF-MISC-INDEX,11. Concepts_Misc,[NEXUS] Technical & Developmental Notes,ACTIVE,v15.0 [OMEGA],PART_OF: WLF-ROOT-001,index; misc-concepts; nexus,"- **[Shadow Realm (Concept)](<./Shadow%20Realm%20(Concept).md>)**: Deep metaphysical drafts. - **[Heartstone Variations](./)**: Oakhaven, Origin, Destabilization notes. - **[Kaelen State Arcs](./)**: Internal struggle and mode transitions.",11. Concepts_Misc\README.md
Shadow Realm (Concept),11. Concepts_Misc,Axiomatic Spine,ACTIVE,v1.0,,,"- | :---- | Synergistic Artifact ID, Relationship Type, Synergistic Impact CORE-CODEX-001, GOVERNS, The Codex provides the Supreme Law for this artifact. GVRN.Registry.Master, INDEXES, This artifact is indexed in the Master Registry.",11. Concepts_Misc\Shadow Realm (Concept).md
README,12. Narrative Artifacts Archive,[NEXUS] Legacy & Deprecated Documentation,ACTIVE,v1.0,,,- **[Archive Overview](./)**: Historical versions of lore and plot. - **[v13.0 Artifacts](./)**: Legacy OMEGA baseline. - **[Conceptual Drafts](./)**: Early-stage system designs.,12. Narrative Artifacts Archive\README.md
WLF-VISUAL-INDEX,13. Visual & Aesthetic Direction,[CANON] Style & Tone,ACTIVE,v15.0 [OMEGA],PART_OF: WLF-ROOT-001,index; visual-direction; nexus,- **[WLF-VIS-001 Visual Style Guide](./WLF-VIS-001_VisualStyleGuide_v1.0.md)**: Color palettes and typography. - **[WLF-VIS-002 Concept Art References](./)**: Curated imagery nexuses. - **[WLF-VIS-010 Dark Mode UI](./WLF-VIS-010_DarkModeUI_v1.0.md)**: Interface corruption aesthetics. - **[Style Notes.md](./Style%20Notes.md)**: Early aesthetic brainstorming.,13. Visual & Aesthetic Direction\README.md
WLF-WORLD-INDEX,2. World & Setting,[CANON] Geography & Locations,ACTIVE,v15.0 [OMEGA],PART_OF: WLF-ROOT-001,index; world-setting; nexus,- **[WLF-WRLD-000 Overview](./WLF-WRLD-000_Overview_v1.0.md)**: The geography of the blighted lands. - **[WLF-WRLD-011 Fortress of Light](./WLF-WRLD-011_FortressOfLight_v1.0.md)**: The bastion of order. - **[WLF-WRLD-013 Oakhaven](./WLF-WRLD-013_Oakhaven_v1.0.md)**: The site of the sundering. - **[WLF-WRLD-014 Ruins of Eldoria](./WLF-WRLD-014_RuinsOfEldoria_v1.0.md)**: Ancient origins. - **[WLF-WRLD-015 Spine of Despair](./WLF-WRLD-015_SpineOfDespair_v1.0.md)**: The physical boundary.,2. World & Setting\README.md
WLF-WRLD-000_Overview_v1.0,2. World & Setting,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document provides the foundational overview of the Shattered Lands, the primary setting for the narrative. The Shattered Lands is a desolate and haunting region characterized by a dark, oppressive, and unsettling atmosphere. Once a vibrant and thriving area, it has been ravaged by the **Great Sundering**, which shattered a previous era of harmony. The land itself is a physical manifestation of internal struggles, reflecting the brokenness of society, the shattered lives of its people, and the corruption that threatens to consume both the land and individual faith. - **[WLF-WRLD-002 Map](file:///2.%20World%20&%20Setting/WLF-WRLD-002_Map_v1.0.md)**: Cartographic representation.",2. World & Setting\WLF-WRLD-000_Overview_v1.0.md
WLF-WRLD-001_Geography_v1.0,2. World & Setting,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] This document details the physical terrain, climate, and sensory atmosphere of the Shattered Lands. - **General Impression**: A continent violently fractured by the **Great Sundering**; defined by jagged coastlines and deep spiritual fissures. - **Key Features**: - **[The Spine of Despair](file:///2.%20World%20&%20Setting/Locations/WLF-WRLD-014_SpineOfDespair_v1.0.md)**:",2. World & Setting\WLF-WRLD-001_Geography_v1.0.md
WLF-WRLD-002_Map_v1.0,2. World & Setting,Axiomatic Spine,ACTIVE,v1.0,,,> [!NOTE] This document acts as the primary cartographic index for the project's geographic assets. - **Primary Map Image**: [Shattered Lands Map](file:///Visuals/Shattered_Lands_Map.jpg) - **Regional Overviews**: - [The Northern Marches](file:///Docs/WLF-DOC-000_PhoenixProtocols_v1.0.md) - [The Ashen Wastes](file:///2.%20World%20&%20Setting/Locations/WLF-WRLD-010_AshenWastes_v1.0.md),2. World & Setting\WLF-WRLD-002_Map_v1.0.md
WLF-WRLD-003_NullZones_v1.0,2. World & Setting,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] This document defines the physics and effects of Null Zones—pockets of anti-reality where the laws of nature > break down. Null Zones are areas where the **Heartstone Network** has suffered critical failure. These are not just magical ""blights"" but literal holes in the fabric of existence where the Shadow Self/Nyx influence is absolute. - **Visual Distortion**: Geometry fractures; colors bleed or turn to grayscale.",2. World & Setting\WLF-WRLD-003_NullZones_v1.0.md
WLF-WRLD-004_CorruptedFauna_v1.0,2. World & Setting,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document catalogs the wildlife of the Shattered Lands that has succumbed to the influence of Nyx. - **Shadowbats**: Bats with dark, oily fur and glowing red eyes; often serve as early warning signs of an approaching Null Zone. - **Gloom Hounds**: Pack hunters with eerie green eyes that prowl the Gloomwood. - **Nightwraiths**: Spectral beings feeding on despair in tragic locations.",2. World & Setting\WLF-WRLD-004_CorruptedFauna_v1.0.md
WLF-WRLD-005_CorruptedFlora_v1.0,2. World & Setting,Axiomatic Spine,ACTIVE,v1.0,,,"> [!NOTE] > This document catalogs the plant life of the Shattered Lands that has been mutated by the Nyx/Shattering. - **Gloomwood Trees**: Towering, ancient trees with dark purple leaves that absorb light. - **Bloodpetal Vines**: Crimson flowers dripping viscous, poisonous sap; emblems of encroaching darkness. - **Ghostbloom**: Luminescent flowers that induce unsettling visions upon contact.",2. World & Setting\WLF-WRLD-005_CorruptedFlora_v1.0.md
